count,bps_value,scl_value,bps_name,model_code,ref_label,model_label,ref_percent,current_percent,total_count
2223,1620,1,Boreal Jack Pine-Black Spruce Forest - Pine Barrens,13441_51,A,13441_51_A,35,0,1400673
823,1620,2,Boreal Jack Pine-Black Spruce Forest - Pine Barrens,13441_51,B,13441_51_B,15,0,1400673
88255,1620,3,Boreal Jack Pine-Black Spruce Forest - Pine Barrens,13441_51,C,13441_51_C,31,6,1400673
954530,1620,4,Boreal Jack Pine-Black Spruce Forest - Pine Barrens,13441_51,D,13441_51_D,19,68,1400673
22458,1620,180,Boreal Jack Pine-Black Spruce Forest - Pine Barrens,13441_51,Agriculture,13441_51_Agriculture,0,1,1400673
160758,1620,120,Boreal Jack Pine-Black Spruce Forest - Pine Barrens,13441_51,Developed,13441_51_Developed,0,11,1400673
NA,NA,NA,Boreal Jack Pine-Black Spruce Forest - Pine Barrens,13441_51,Water,13441_51_Water,0,0,0
38963,1620,6,Boreal Jack Pine-Black Spruce Forest - Pine Barrens,13441_51,UN,13441_51_UN,0,2,1400673
131491,1620,7,Boreal Jack Pine-Black Spruce Forest - Pine Barrens,13441_51,UE,13441_51_UE,0,9,1400673
18665,1622,1,Laurentian-Acadian Northern Pine(-Oak) Forest,13620_51_63_64_65_66,A,13620_51_63_64_65_66_A,13,0,6517076
3933917,1622,2,Laurentian-Acadian Northern Pine(-Oak) Forest,13620_51_63_64_65_66,B,13620_51_63_64_65_66_B,13,60,6517076
380440,1622,3,Laurentian-Acadian Northern Pine(-Oak) Forest,13620_51_63_64_65_66,C,13620_51_63_64_65_66_C,48,5,6517076
NA,NA,NA,Laurentian-Acadian Northern Pine(-Oak) Forest,13620_51_63_64_65_66,D,13620_51_63_64_65_66_D,26,0,0
592056,1622,180,Laurentian-Acadian Northern Pine(-Oak) Forest,13620_51_63_64_65_66,Agriculture,13620_51_63_64_65_66_Agriculture,0,9,6517076
813064,1622,120,Laurentian-Acadian Northern Pine(-Oak) Forest,13620_51_63_64_65_66,Developed,13620_51_63_64_65_66_Developed,0,12,6517076
NA,NA,NA,Laurentian-Acadian Northern Pine(-Oak) Forest,13620_51_63_64_65_66,Water,13620_51_63_64_65_66_Water,0,0,0
NA,NA,NA,Laurentian-Acadian Northern Pine(-Oak) Forest,13620_51_63_64_65_66,UN,13620_51_63_64_65_66_UN,0,0,0
774044,1622,7,Laurentian-Acadian Northern Pine(-Oak) Forest,13620_51_63_64_65_66,UE,13620_51_63_64_65_66_UE,0,11,6517076
16680,1625,1,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,13660_51_63_64_65_66,A,13660_51_63_64_65_66_A,3,0,3715254
13426,1625,2,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,13660_51_63_64_65_66,B,13660_51_63_64_65_66_B,16,0,3715254
6038,1625,3,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,13660_51_63_64_65_66,C,13660_51_63_64_65_66_C,39,0,3715254
1749672,1625,4,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,13660_51_63_64_65_66,D,13660_51_63_64_65_66_D,42,47,3715254
1215065,1625,180,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,13660_51_63_64_65_66,Agriculture,13660_51_63_64_65_66_Agriculture,0,32,3715254
500631,1625,120,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,13660_51_63_64_65_66,Developed,13660_51_63_64_65_66_Developed,0,13,3715254
NA,NA,NA,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,13660_51_63_64_65_66,Water,13660_51_63_64_65_66_Water,0,0,0
NA,NA,NA,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,13660_51_63_64_65_66,UN,13660_51_63_64_65_66_UN,0,0,0
212988,1625,7,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,13660_51_63_64_65_66,UE,13660_51_63_64_65_66_UE,0,5,3715254
9930,1628,1,Laurentian Pine-Oak Barrens,14071_41_50_51,A,14071_41_50_51_A,9,0,3996376
571,1628,2,Laurentian Pine-Oak Barrens,14071_41_50_51,B,14071_41_50_51_B,1,0,3996376
117542,1628,3,Laurentian Pine-Oak Barrens,14071_41_50_51,C,14071_41_50_51_C,26,2,3996376
1777788,1628,4,Laurentian Pine-Oak Barrens,14071_41_50_51,D,14071_41_50_51_D,62,44,3996376
812922,1628,5,Laurentian Pine-Oak Barrens,14071_41_50_51,E,14071_41_50_51_E,2,20,3996376
43958,1628,180,Laurentian Pine-Oak Barrens,14071_41_50_51,Agriculture,14071_41_50_51_Agriculture,0,1,3996376
461892,1628,120,Laurentian Pine-Oak Barrens,14071_41_50_51,Developed,14071_41_50_51_Developed,0,11,3996376
NA,NA,NA,Laurentian Pine-Oak Barrens,14071_41_50_51,Water,14071_41_50_51_Water,0,0,0
34541,1628,6,Laurentian Pine-Oak Barrens,14071_41_50_51,UN,14071_41_50_51_UN,0,0,3996376
734416,1628,7,Laurentian Pine-Oak Barrens,14071_41_50_51,UE,14071_41_50_51_UE,0,18,3996376
